timestamp,exchange_Auvergne Rhone Alpes_Nouvelle Aquitaine
02/02/2021 21:00,-3978.0
02/02/2021 21:30,-4000.0
02/02/2021 22:00,-4000.0
02/02/2021 22:30,-4000.0
02/02/2021 23:00,-4000.0
02/02/2021 23:30,-3911.0
02/03/2021 00:00,-4000.0
02/03/2021 00:30,-4000.0
02/03/2021 01:00,-4000.0
02/03/2021 01:30,-4000.0
02/03/2021 02:00,-4000.0
02/03/2021 02:30,-4000.0
02/03/2021 03:00,-4000.0
02/03/2021 03:30,-4000.0
02/03/2021 04:00,-4000.0
02/03/2021 04:30,-4000.0
02/03/2021 05:00,-4000.0
02/03/2021 05:30,-4000.0
02/03/2021 06:00,-4000.0
02/03/2021 06:30,-4000.0
02/03/2021 07:00,-4000.0
02/03/2021 07:30,-4000.0
02/03/2021 08:00,-4000.0
02/03/2021 08:30,-4000.0
02/03/2021 09:00,-4000.0
02/03/2021 09:30,-4000.0
02/03/2021 10:00,-3990.0
02/03/2021 10:30,-4000.0
02/03/2021 11:00,-4000.0
02/03/2021 11:30,-4000.0
02/03/2021 12:00,-4000.0
02/03/2021 12:30,-4000.0
02/03/2021 13:00,-4000.0
02/03/2021 13:30,-4000.0
02/03/2021 14:00,-4000.0
02/03/2021 14:30,-4000.0
02/03/2021 15:00,-4000.0
02/03/2021 15:30,-4000.0
02/03/2021 16:00,-4000.0
02/03/2021 16:30,-4000.0
02/03/2021 17:00,-4000.0
02/03/2021 17:30,-4000.0
02/03/2021 18:00,-4000.0
02/03/2021 18:30,-4000.0
02/03/2021 19:00,-3420.0
02/03/2021 19:30,-4000.0
02/03/2021 20:00,-4000.0
02/03/2021 20:30,-3521.0
02/03/2021 21:00,-4000.0
02/03/2021 21:30,-4000.0
02/03/2021 22:00,-4000.0
02/03/2021 22:30,-4000.0
02/03/2021 23:00,-3991.0
02/03/2021 23:30,-4000.0
02/04/2021 00:00,-4000.0
02/04/2021 00:30,-4000.0
02/04/2021 01:00,-4000.0
02/04/2021 01:30,-4000.0
02/04/2021 02:00,-4000.0
02/04/2021 02:30,-4000.0
02/04/2021 03:00,-4000.0
02/04/2021 03:30,-4000.0
02/04/2021 04:00,-4000.0
02/04/2021 04:30,-4000.0
02/04/2021 05:00,-4000.0
02/04/2021 05:30,-4000.0
02/04/2021 06:00,-4000.0
02/04/2021 06:30,-4000.0
02/04/2021 07:00,-4000.0
02/04/2021 07:30,-4000.0
02/04/2021 08:00,-4000.0
02/04/2021 08:30,-4000.0
02/04/2021 09:00,-4000.0
02/04/2021 09:30,-4000.0
02/04/2021 10:00,-4000.0
02/04/2021 10:30,-4000.0
02/04/2021 11:00,-4000.0
02/04/2021 11:30,-4000.0
02/04/2021 12:00,-4000.0
02/04/2021 12:30,-4000.0
02/04/2021 13:00,-4000.0
02/04/2021 13:30,-4000.0
02/04/2021 14:00,-4000.0
02/04/2021 14:30,-4000.0
02/04/2021 15:00,-4000.0
02/04/2021 15:30,-4000.0
02/04/2021 16:00,-4000.0
02/04/2021 16:30,-4000.0
02/04/2021 17:00,-4000.0
02/04/2021 17:30,-4000.0
02/04/2021 18:00,-4000.0
02/04/2021 18:30,-4000.0
02/04/2021 19:00,-4000.0
02/04/2021 19:30,-4000.0
02/04/2021 20:00,-4000.0
02/04/2021 20:30,-4000.0
02/04/2021 21:00,-4000.0
02/04/2021 21:30,-4000.0
02/04/2021 22:00,-4000.0
02/04/2021 22:30,-4000.0
02/04/2021 23:00,-4000.0
02/04/2021 23:30,-4000.0
02/05/2021 00:00,-4000.0
02/05/2021 00:30,-4000.0
02/05/2021 01:00,-4000.0
02/05/2021 01:30,-4000.0
02/05/2021 02:00,-4000.0
02/05/2021 02:30,-4000.0
02/05/2021 03:00,-4000.0
02/05/2021 03:30,-4000.0
02/05/2021 04:00,-4000.0
02/05/2021 04:30,-4000.0
02/05/2021 05:00,-4000.0
02/05/2021 05:30,-4000.0
02/05/2021 06:00,-4000.0
02/05/2021 06:30,-4000.0
02/05/2021 07:00,-4000.0
02/05/2021 07:30,-4000.0
02/05/2021 08:00,-4000.0
02/05/2021 08:30,-4000.0
02/05/2021 09:00,-4000.0
02/05/2021 09:30,-4000.0
02/05/2021 10:00,-4000.0
02/05/2021 10:30,-4000.0
02/05/2021 11:00,-4000.0
02/05/2021 11:30,-4000.0
02/05/2021 12:00,-4000.0
02/05/2021 12:30,-4000.0
02/05/2021 13:00,-4000.0
02/05/2021 13:30,-4000.0
02/05/2021 14:00,-4000.0
02/05/2021 14:30,-4000.0
02/05/2021 15:00,-4000.0
02/05/2021 15:30,-4000.0
02/05/2021 16:00,-4000.0
02/05/2021 16:30,-4000.0
02/05/2021 17:00,-4000.0
02/05/2021 17:30,-4000.0
02/05/2021 18:00,-4000.0
02/05/2021 18:30,-4000.0
02/05/2021 19:00,-4000.0
02/05/2021 19:30,-4000.0
02/05/2021 20:00,-4000.0
02/05/2021 20:30,-4000.0
02/05/2021 21:00,-4000.0
02/05/2021 21:30,-4000.0
02/05/2021 22:00,-4000.0
02/05/2021 22:30,-4000.0
